2026-04-04 00:49:33,335 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-04-04 00:49:33,382 | INFO     | explorer.server | 🌐 API server running at http://127.0.0.1:5100
2026-04-04 00:49:33,395 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x000002045AFA9BC0>
2026-04-04 00:49:33,414 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x000002045AFA9BC0> completed
2026-04-04 00:49:33,425 | DEBUG    | aiosqlite | executing functools.partial(<built-in method executescript of sqlite3.Connection object at 0x000002045AF9CF40>, "\nCREATE TABLE IF NOT EXISTS screens (\n    id TEXT PRIMARY KEY,\n    name TEXT NOT NULL,\n    screen_type TEXT DEFAULT 'unknown',\n    description TEXT DEFAULT '',\n    screenshot_path TEXT,\n    element_count INTEGER DEFAULT 0,\n    first_seen REAL NOT NULL,\n    last_seen REAL NOT NULL,\n    visit_count INTEGER DEFAULT 1,\n    fully_explored INTEGER DEFAULT 0\n);\n\nCREATE TABLE IF NOT EXISTS elements (\n    id TEXT PRIMARY KEY,\n    screen_id TEXT NOT NULL,\n    element_type TEXT NOT NULL,\n    label TEXT DEFAULT '',\n    description TEXT DEFAULT '',\n    x INTEGER NOT NULL,\n    y INTEGER NOT NULL,\n    width INTEGER DEFAULT 0,\n    height INTEGER DEFAULT 0,\n    interacted INTEGER DEFAULT 0,\n    interaction_result TEXT DEFAULT '',\n    FOREIGN KEY (screen_id) REFERENCES screens(id)\n);\n\nCREATE TABLE IF NOT EXISTS transitions (\n    id INTEGER PRIMARY KEY AUTOINCREMENT,\n    from_screen_id TEXT NOT NULL,\n    element_id TEXT,\n    to_screen_id TEXT NOT NULL,\n    action_type TEXT NOT NULL,\n    action_detail TEXT DEFAULT '',\n    timestamp REAL NOT NULL,\n    FOREIGN KEY (from_screen_id) REFERENCES screens(id),\n    FOREIGN KEY (to_screen_id) REFERENCES screens(id)\n);\n\nCREATE TABLE IF NOT EXISTS exploration_log (\n    id INTEGER PRIMARY KEY AUTOINCREMENT,\n    action_type TEXT NOT NULL,\n    screen_id TEXT,\n    element_id TEXT,\n    detail TEXT DEFAULT '',\n    timestamp REAL NOT NULL\n);\n\nCREATE INDEX IF NOT EXISTS idx_elements_screen ON elements(screen_id);\nCREATE INDEX IF NOT EXISTS idx_transitions_from ON transitions(from_screen_id);\nCREATE INDEX IF NOT EXISTS idx_transitions_to ON transitions(to_screen_id);\n")
2026-04-04 00:49:33,526 | DEBUG    | aiosqlite | operation functools.partial(<built-in method executescript of sqlite3.Connection object at 0x000002045AF9CF40>, "\nCREATE TABLE IF NOT EXISTS screens (\n    id TEXT PRIMARY KEY,\n    name TEXT NOT NULL,\n    screen_type TEXT DEFAULT 'unknown',\n    description TEXT DEFAULT '',\n    screenshot_path TEXT,\n    element_count INTEGER DEFAULT 0,\n    first_seen REAL NOT NULL,\n    last_seen REAL NOT NULL,\n    visit_count INTEGER DEFAULT 1,\n    fully_explored INTEGER DEFAULT 0\n);\n\nCREATE TABLE IF NOT EXISTS elements (\n    id TEXT PRIMARY KEY,\n    screen_id TEXT NOT NULL,\n    element_type TEXT NOT NULL,\n    label TEXT DEFAULT '',\n    description TEXT DEFAULT '',\n    x INTEGER NOT NULL,\n    y INTEGER NOT NULL,\n    width INTEGER DEFAULT 0,\n    height INTEGER DEFAULT 0,\n    interacted INTEGER DEFAULT 0,\n    interaction_result TEXT DEFAULT '',\n    FOREIGN KEY (screen_id) REFERENCES screens(id)\n);\n\nCREATE TABLE IF NOT EXISTS transitions (\n    id INTEGER PRIMARY KEY AUTOINCREMENT,\n    from_screen_id TEXT NOT NULL,\n    element_id TEXT,\n    to_screen_id TEXT NOT NULL,\n    action_type TEXT NOT NULL,\n    action_detail TEXT DEFAULT '',\n    timestamp REAL NOT NULL,\n    FOREIGN KEY (from_screen_id) REFERENCES screens(id),\n    FOREIGN KEY (to_screen_id) REFERENCES screens(id)\n);\n\nCREATE TABLE IF NOT EXISTS exploration_log (\n    id INTEGER PRIMARY KEY AUTOINCREMENT,\n    action_type TEXT NOT NULL,\n    screen_id TEXT,\n    element_id TEXT,\n    detail TEXT DEFAULT '',\n    timestamp REAL NOT NULL\n);\n\nCREATE INDEX IF NOT EXISTS idx_elements_screen ON elements(screen_id);\nCREATE INDEX IF NOT EXISTS idx_transitions_from ON transitions(from_screen_id);\nCREATE INDEX IF NOT EXISTS idx_transitions_to ON transitions(to_screen_id);\n") completed
2026-04-04 00:49:33,539 | DEBUG    | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x000002045AF9CF40>)
2026-04-04 00:49:33,546 | DEBUG    | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x000002045AF9CF40>) completed
2026-04-04 00:49:33,551 | INFO     | explorer.mcp | 🔌 Connecting to Mobile MCP server...
2026-04-04 00:49:33,798 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-04 00:49:37,134 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM screens ORDER BY first_seen', [])
2026-04-04 00:49:37,215 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM screens ORDER BY first_seen', []) completed
