2026-04-12 01:30:45,962 | INFO     | explorer.server | UI static files served from: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\ui
2026-04-12 01:30:45,964 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-12 01:30:46,156 | INFO     | explorer.mcp | MCP: Starting connection...
2026-04-12 01:30:46,519 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:46 +0200] "GET / HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:48,199 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-12 01:30:48,225 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 01:30:48,703 | INFO     | explorer.server | 📡 WebSocket client disconnected (1 remaining)
2026-04-12 01:30:48,704 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:48 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:50,901 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:50 +0200] "DELETE /api/storage HTTP/1.1" 200 361 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:50,916 | INFO     | explorer.server | 📡 WebSocket client disconnected (0 remaining)
2026-04-12 01:30:50,918 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:48 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:50,954 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:50 +0200] "GET /api/status HTTP/1.1" 200 313 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:50,959 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-12 01:30:50,961 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:50 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:50,964 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:50 +0200] "GET /api/stories HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:50,968 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:50 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:50,972 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:50 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:51,187 | INFO     | explorer.mcp | MCP: Tools discovered: mobile_start_screen_recording, mobile_get_orientation, mobile_swipe_on_screen, mobile_take_screenshot, mobile_uninstall_app, mobile_press_button, mobile_list_apps, mobile_list_elements_on_screen, mobile_click_on_screen_at_coordinates, mobile_double_tap_on_screen, mobile_stop_screen_recording, mobile_save_screenshot, mobile_get_screen_size, mobile_long_press_on_screen_at_coordinates, mobile_open_url, mobile_list_available_devices, mobile_type_keys, mobile_install_app, mobile_set_orientation, mobile_launch_app, mobile_terminate_app
2026-04-12 01:30:51,562 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-12 01:30:53,081 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:53 +0200] "POST /api/agent/start HTTP/1.1" 200 389 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:57,219 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:56 +0200] "GET /api/live-screenshot HTTP/1.1" 200 386869 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:58,551 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 01:30:59,620 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:59 +0200] "GET /api/live-screenshot HTTP/1.1" 200 167845 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:30:59,843 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Console Log Modal[/ai] (2 elements)
2026-04-12 01:30:59,924 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:30:59 +0200] "GET /api/graph HTTP/1.1" 200 1845 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:00,954 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:00 +0200] "GET /api/graph HTTP/1.1" 200 2160 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:02,904 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:02 +0200] "GET /api/live-screenshot HTTP/1.1" 200 190853 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:06,204 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:05 +0200] "GET /api/live-screenshot HTTP/1.1" 200 190853 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:07,510 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 01:31:08,572 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:08 +0200] "GET /api/live-screenshot HTTP/1.1" 200 190853 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-12 01:31:10,952 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:10 +0200] "GET /api/graph HTTP/1.1" 200 2160 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-12 01:31:11,699 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:11 +0200] "GET /api/live-screenshot HTTP/1.1" 200 190853 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-12 01:31:11,970 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Profile Screen[/ai] (9 elements)
2026-04-12 01:31:12,081 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:12 +0200] "GET /api/graph HTTP/1.1" 200 5942 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-12 01:31:12,090 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:12 +0200] "GET /api/graph HTTP/1.1" 200 5962 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-12 01:31:15,046 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:14 +0200] "GET /api/live-screenshot HTTP/1.1" 200 190853 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:15,595 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:15 +0200] "GET /api/screens HTTP/1.1" 200 1524 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:15,612 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:15 +0200] "GET /api/screenshots/20260412_013111_971777.png HTTP/1.1" 200 260 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:15,615 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:15 +0200] "GET /api/screenshots/20260412_013059_845470.png HTTP/1.1" 200 260 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:16,083 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:16 +0200] "GET /api/graph HTTP/1.1" 200 6619 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:17,993 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:17 +0200] "GET /api/live-screenshot HTTP/1.1" 200 190853 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:20,960 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:20 +0200] "GET /api/graph HTTP/1.1" 200 6963 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:21,101 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:20 +0200] "GET /api/live-screenshot HTTP/1.1" 200 214485 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:24,480 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:31:23 +0200] "GET /api/live-screenshot HTTP/1.1" 200 214485 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:31:26,375 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
